title,original_sentiment,finbert_sentiment,finbert_confidence,finbert_label_positive,finbert_label_negative,finbert_label_neutral,roberta_sentiment,roberta_confidence,roberta_label_negative,roberta_label_neutral,roberta_label_positive,deberta_sentiment,deberta_confidence,deberta_label_bearish,deberta_label_neutral,deberta_label_bullish,finbert_agrees,roberta_agrees,deberta_agrees
SpiceJet to issue 6.4 crore warrants to promoters,1,1,0.7686139345169067,0.2229022979736328,0.008483733050525188,0.7686139345169067,1,0.9186492562294006,0.030613360926508904,0.9186492562294006,0.050737299025058746,1,0.9890016317367554,0.0010675147641450167,0.9890016317367554,0.009930751286447048,1,1,1
MMTC Q2 net loss at Rs 10.4 crore,1,0,0.9494919776916504,0.008096324279904366,0.9494919776916504,0.0424116775393486,1,0.5823078155517578,0.3909405469894409,0.5823078155517578,0.026751631870865822,0,0.919470489025116,0.919470489025116,0.07009535282850266,0.010434108786284924,0,1,0
"Mid-cap funds can deliver more, stay put: Experts",2,1,0.863402247428894,0.12338381260633469,0.013213953003287315,0.863402247428894,1,0.556094765663147,0.01126917451620102,0.556094765663147,0.4326361119747162,1,0.8256253600120544,0.008108682930469513,0.8256253600120544,0.16626590490341187,0,0,0
Mid caps now turn into market darlings,2,1,0.48316431045532227,0.09326699376106262,0.4235686659812927,0.48316431045532227,1,0.7707178592681885,0.08932898193597794,0.7707178592681885,0.139953151345253,2,0.7015069723129272,0.0034769296180456877,0.2950160801410675,0.7015069723129272,0,0,1
"Market seeing patience, if not conviction: Prakash Diwan",1,1,0.8604908585548401,0.12294100224971771,0.016568128019571304,0.8604908585548401,1,0.7863205671310425,0.04238639026880264,0.7863205671310425,0.1712929904460907,1,0.5759279131889343,0.09575123339891434,0.5759279131889343,0.3283208906650543,1,1,1
Infosys: Will the strong volume growth sustain?,1,2,0.5321680307388306,0.5321680307388306,0.01314535178244114,0.45468661189079285,1,0.4961757957935333,0.008230128325521946,0.4961757957935333,0.4955941140651703,2,0.9558972120285034,0.002696216106414795,0.04140660539269447,0.9558972120285034,0,1,0
Hudco raises Rs 279 cr via tax-free bonds,2,2,0.6344989538192749,0.6344989538192749,0.011189728043973446,0.3543113172054291,1,0.5089048743247986,0.006646314170211554,0.5089048743247986,0.4844488799571991,1,0.9926826357841492,0.001044044503942132,0.9926826357841492,0.006273333448916674,1,0,0
HOEC could retest 30-35 levels: Ashwani Gujral,1,1,0.8485832810401917,0.12926031649112701,0.022156428545713425,0.8485832810401917,1,0.9047234654426575,0.019633427262306213,0.9047234654426575,0.07564307749271393,1,0.9955018162727356,0.0014159156708046794,0.9955018162727356,0.003082344541326165,1,1,1
Gold shines on seasonal demand; Silver dull,2,1,0.6280127763748169,0.3565382957458496,0.015448895283043385,0.6280127763748169,1,0.5963243842124939,0.06693198531866074,0.5963243842124939,0.33674368262290955,2,0.8661140203475952,0.011889328248798847,0.12199663370847702,0.8661140203475952,0,0,1
Genpact appoints Edward J Fitzpatrick as CFO,1,1,0.9372432231903076,0.030931830406188965,0.03182492405176163,0.9372432231903076,1,0.9090579152107239,0.015894686803221703,0.9090579152107239,0.07504739612340927,1,0.995373547077179,0.0010633479105308652,0.995373547077179,0.0035632080398499966,1,1,1
